time_s,emg_raw_mV
0.434,0.008286
0.435,-0.010260
0.436,-0.009260
0.437,-0.015264
0.438,-0.009615
0.439,0.004208
0.440,-0.002271
0.441,0.004871
0.442,0.006106
0.443,0.018275
0.444,-0.001260
0.445,-0.014722
0.446,0.015660
0.447,-0.001551
0.448,0.015138
0.449,0.005528
0.450,-0.001574
0.451,0.003258
0.452,0.021649
0.453,0.022497
0.454,-0.002021
0.455,-0.001078
0.456,0.010062
0.457,-0.012575
0.458,0.002233
0.459,-0.001237
0.460,0.003767
0.461,-0.009073
0.462,-0.017311
0.463,-0.022449
0.464,-0.010555
0.465,-0.002504
0.466,-0.000665
0.467,0.025674
0.468,0.015035
0.469,-0.010618
0.470,0.004173
0.471,-0.005812
0.472,-0.005176
0.473,-0.000203
0.474,0.004577
0.475,-0.007071
0.476,0.009913
0.477,-0.016130
0.478,-0.001687
0.479,0.030245
0.480,0.002677
0.481,0.018126
0.482,0.002862
0.483,0.009396
0.484,0.002172
0.485,0.000955
0.486,-0.006501
0.487,0.007591
0.488,-0.008455
0.489,0.008914
0.490,0.013023
0.491,0.003471
0.492,-0.005198
0.493,0.003021
0.494,-0.006557
0.495,0.008227
0.496,-0.024830
0.497,-0.006454
0.498,-0.025653
0.499,-0.018868
0.500,0.016366
0.501,0.011669
0.502,-0.006870
0.503,-0.015603
0.504,-0.032721
0.505,-0.003522
0.506,0.031898
0.507,0.007646
0.508,-0.004952
0.509,0.006508
0.510,-0.018732
0.511,-0.004495
0.512,-0.000570
0.513,-0.003460
0.514,0.006637
0.515,0.001136
0.516,0.005167
0.517,-0.010688
0.518,0.009010
0.519,0.018620
0.520,-0.011642
0.521,-0.009725
0.522,0.017793
0.523,0.000131
0.524,0.019699
0.525,-0.002310
0.526,0.020314
0.527,0.004005
0.528,0.004862
0.529,0.019704
0.530,-0.004341
0.531,-0.012221
0.532,-0.007146
0.533,0.003001
0.534,-0.021642
0.535,0.004650
0.536,-0.009318
0.537,0.011347
0.538,-0.030494
0.539,-0.010366
0.540,-0.020238
0.541,-0.008988
0.542,0.004735
0.543,0.000276
0.544,-0.000187
0.545,0.001090
0.546,0.005294
0.547,-0.009675
0.548,0.010246
0.549,0.008879
0.550,0.004620
0.551,0.005751
0.552,0.001794
0.553,0.021994
0.554,-0.003898
0.555,-0.006685
0.556,-0.011896
0.557,-0.014814
0.558,-0.016697
0.559,-0.011593
0.560,-0.000848
0.561,0.004939
0.562,0.002377
0.563,-0.006759
0.564,0.013655
0.565,0.011873
0.566,0.000937
0.567,-0.005408
0.568,0.008344
0.569,0.003183
0.570,-0.017378
0.571,-0.001743
0.572,0.001381
0.573,-0.013223
0.574,-0.000575
0.575,-0.020458
0.576,0.013181
0.577,0.012548
0.578,-0.004794
0.579,0.003434
0.580,-0.028919
0.581,-0.012949
0.582,-0.001762
0.583,-0.010439
0.584,0.011426
0.585,0.026968
0.586,-0.011266
0.587,-0.007623
0.588,0.004589
0.589,0.020260
0.590,-0.014668
0.591,0.002061
0.592,0.020092
0.593,-0.022248
0.594,-0.018226
0.595,-0.008083
0.596,-0.009100
0.597,0.007324
0.598,0.001137
0.599,-0.022227
0.600,0.006185
0.601,-0.006003
0.602,0.017057
0.603,-0.005104
0.604,-0.004786
0.605,0.009494
0.606,0.012008
0.607,0.007804
0.608,-0.018464
0.609,0.007383
0.610,-0.012412
0.611,0.001896
0.612,-0.018848
0.613,0.002929
0.614,-0.012532
0.615,-0.018392
0.616,0.005713
0.617,0.000473
0.618,-0.009131
0.619,0.016487
0.620,-0.005288
0.621,0.001312
0.622,0.004990
0.623,-0.005009
0.624,0.008507
0.625,-0.003401
0.626,-0.002086
0.627,0.018779
0.628,-0.010724
0.629,-0.028026
0.630,0.019331
0.631,0.029665
0.632,-0.006627
0.633,-0.025669
0.634,-0.006579
0.635,-0.006435
0.636,-0.005132
0.637,-0.015788
0.638,0.005191
0.639,0.005367
0.640,-0.017933
0.641,0.009317
0.642,0.026396
0.643,0.004491
0.644,-0.001195
0.645,0.001296
0.646,0.010236
0.647,-0.018341
0.648,0.003736
0.649,-0.003759
0.650,0.022174
0.651,-0.003017
0.652,0.018251
0.653,-0.015672
0.654,0.004194
0.655,0.000833
0.656,-0.013282
0.657,-0.000298
0.658,0.012787
0.659,-0.004813
0.660,-0.020304
0.661,0.000716
0.662,-0.009066
0.663,-0.001681
0.664,0.001874
0.665,-0.017468
0.666,-0.016535
0.667,0.008212
0.668,-0.004509
0.669,-0.029850
0.670,0.009418
0.671,0.002341
0.672,-0.010330
0.673,-0.018229
0.674,0.007177
0.675,0.001192
0.676,0.025738
0.677,0.002615
0.678,0.002889
0.679,-0.002930
0.680,0.009801
0.681,0.008428
0.682,0.016784
0.683,-0.003829
0.684,-0.002372
0.685,-0.002749
0.686,0.012343
0.687,0.020408
0.688,-0.003743
0.689,-0.004170
0.690,0.003769
0.691,-0.003876
0.692,0.009661
0.693,-0.029448
0.694,-0.012774
0.695,-0.012389
0.696,-0.030697
0.697,-0.013991
0.698,-0.012745
0.699,-0.003340
0.700,0.013356
0.701,-0.002014
0.702,-0.010606
0.703,0.001744
0.704,0.015443
0.705,-0.008712
0.706,-0.008074
0.707,0.009130
0.708,-0.000895
0.709,0.008697
0.710,-0.000164
0.711,0.007493
0.712,-0.014184
0.713,-0.002572
0.714,-0.005381
0.715,-0.017591
0.716,-0.021615
0.717,0.005802
0.718,-0.005975
0.719,-0.013194
0.720,-0.001154
0.721,0.014463
0.722,-0.025605
0.723,-0.015533
0.724,-0.008221
0.725,0.020534
0.726,0.006244
0.727,0.011635
0.728,-0.011919
0.729,-0.012507
0.730,0.005374
0.731,-0.000228
0.732,0.004822
0.733,-0.004679
0.734,0.000485
0.735,-0.001103
0.736,0.006480
0.737,0.007257
0.738,-0.021202
0.739,-0.027894
0.740,0.012021
0.741,0.015180
0.742,-0.010484
0.743,-0.019891
0.744,0.004042
0.745,0.014170
0.746,0.024424
0.747,0.008623
0.748,-0.002697
0.749,-0.009791
0.750,0.000137
0.751,-0.004518
0.752,-0.013944
0.753,0.022158
0.754,0.018569
0.755,0.010633
0.756,-0.013903
0.757,0.007833
0.758,0.005912
0.759,0.004383
0.760,0.014996
0.761,0.008552
0.762,0.010644
0.763,0.010070
0.764,0.006943
0.765,-0.018403
0.766,0.003857
0.767,-0.004247
0.768,-0.013595
0.769,0.021109
0.770,0.020748
0.771,0.015384
0.772,0.001299
0.773,0.013780
0.774,-0.002709
0.775,-0.000566
0.776,-0.015975
0.777,0.002337
0.778,-0.001039
0.779,-0.016559
0.780,-0.000614
0.781,-0.000030
0.782,0.023334
0.783,0.013158
0.784,0.002991
0.785,0.005985
0.786,0.003384
0.787,-0.000008
0.788,-0.011226
0.789,-0.000886
0.790,-0.008953
0.791,-0.015931
0.792,0.004371
0.793,0.002268
0.794,-0.024294
0.795,-0.004472
0.796,0.009095
0.797,0.010284
0.798,0.010547
0.799,-0.000460
0.800,-0.010141
0.801,-0.012077
0.802,0.005899
0.803,0.006978
0.804,0.018301
0.805,0.016200
0.806,0.001266
0.807,-0.012503
0.808,-0.002066
0.809,0.003534
0.810,-0.002425
0.811,-0.007862
0.812,0.001271
0.813,-0.008475
0.814,-0.010390
0.815,0.000737
0.816,-0.007677
0.817,0.000502
0.818,0.001515
0.819,-0.014600
0.820,-0.005775
0.821,0.018180
0.822,-0.012182
0.823,-0.022973
0.824,-0.019489
0.825,0.003349
0.826,0.003224
0.827,0.001016
0.828,0.016334
0.829,-0.031147
0.830,0.004751
0.831,0.017810
0.832,-0.015297
0.833,-0.006985
0.834,-0.011888
0.835,-0.013732
0.836,-0.006768
0.837,0.014703
0.838,0.020285
0.839,-0.004958
0.840,0.022861
0.841,0.001354
0.842,0.022808
0.843,0.001307
0.844,0.004426
0.845,0.007386
0.846,0.040999
0.847,0.012642
0.848,-0.006724
0.849,0.012555
0.850,-0.004342
0.851,-0.006804
0.852,0.009140
0.853,-0.002054
0.854,0.000490
0.855,-0.002832
0.856,0.001186
0.857,0.002673
0.858,-0.025007
0.859,0.007072
0.860,-0.011784
0.861,-0.016381
0.862,0.001062
0.863,0.003435
0.864,-0.005469
0.865,0.012972
0.866,-0.013253
0.867,-0.002456
0.868,-0.005255
0.869,0.000368
0.870,0.003346
0.871,-0.013022
0.872,0.006928
0.873,-0.001671
0.874,-0.025557
0.875,-0.026503
0.876,-0.003001
0.877,-0.005079
0.878,-0.003004
0.879,-0.001263
0.880,0.002707
0.881,0.012299
0.882,-0.011570
0.883,-0.011637
0.884,-0.010267
0.885,0.006467
0.886,0.017793
0.887,-0.002749
0.888,-0.028257
0.889,-0.019521
0.890,-0.009996
0.891,-0.007620
0.892,-0.006664
0.893,-0.001964
0.894,-0.006594
0.895,0.009592
0.896,-0.010965
0.897,-0.012775
0.898,0.003983
0.899,-0.019355
0.900,0.004676
0.901,0.002158
0.902,-0.000006
0.903,0.021486
0.904,-0.004613
0.905,0.027724
0.906,0.000148
0.907,-0.012897
0.908,0.002602
0.909,-0.011988
0.910,-0.009021
0.911,0.003837
0.912,0.004904
0.913,-0.009893
0.914,0.008996
0.915,0.010890
0.916,0.014382
0.917,0.003926
0.918,0.014598
0.919,-0.023497
0.920,-0.003815
0.921,-0.009477
0.922,0.003194
0.923,-0.004430
0.924,0.000859
0.925,0.025586
0.926,0.000817
0.927,0.007393
0.928,-0.001024
0.929,0.001836
0.930,0.000072
0.931,0.004453
0.932,0.012220
0.933,0.017342
0.934,0.000862
0.935,0.004075
0.936,-0.016664
0.937,-0.003482
0.938,0.009520
0.939,0.009465
0.940,0.002539
0.941,0.011564
0.942,0.007653
0.943,0.016831
0.944,0.006325
0.945,-0.001268
0.946,0.006883
0.947,-0.032740
0.948,0.006358
0.949,-0.042854
0.950,-0.020682
0.951,0.004494
0.952,0.003967
0.953,-0.016376
0.954,-0.011398
0.955,0.013446
0.956,-0.008662
0.957,0.024488
0.958,-0.001786
0.959,0.003969
0.960,0.019402
0.961,0.002499
0.962,-0.010265
0.963,0.001110
0.964,0.002426
0.965,-0.013377
0.966,-0.000217
0.967,-0.006479
0.968,0.012856
0.969,0.001342
0.970,-0.003394
0.971,-0.002201
0.972,0.000914
0.973,0.004975
0.974,-0.014850
0.975,-0.015499
0.976,0.010403
0.977,-0.007375
0.978,-0.018765
0.979,0.004399
0.980,0.005560
0.981,-0.017442
0.982,0.004517
0.983,0.011254
0.984,0.007346
0.985,0.010584
0.986,-0.013998
0.987,0.006400
0.988,-0.001868
0.989,-0.004866
0.990,0.010447
0.991,0.016824
0.992,0.019769
0.993,0.013351
0.994,-0.004170
0.995,0.001233
0.996,0.006349
0.997,-0.000973
0.998,-0.000194
0.999,0.008958
1.000,-0.000711
1.001,-0.007824
1.002,-0.003210
1.003,0.010034
1.004,0.002889
1.005,0.007083
1.006,0.010894
1.007,-0.002071
1.008,0.010838
1.009,0.005473
1.010,-0.014818
1.011,0.016381
1.012,-0.007772
1.013,-0.022288
1.014,-0.015394
1.015,-0.015253
1.016,-0.002227
1.017,-0.005713
1.018,-0.005805
1.019,0.006509
1.020,0.004079
1.021,0.004720
1.022,0.006681
1.023,0.009821
1.024,-0.022442
1.025,-0.001373
1.026,-0.023309
1.027,0.002860
1.028,0.001708
1.029,0.013473
1.030,0.014252
1.031,0.001506
1.032,-0.007768
1.033,0.003395
1.034,-0.009188
1.035,-0.003017
1.036,0.008980
1.037,-0.009120
1.038,0.007905
1.039,0.007202
1.040,-0.011458
1.041,0.012614
1.042,0.010146
1.043,0.003650
1.044,-0.006295
1.045,-0.007310
1.046,-0.003599
1.047,0.008938
1.048,-0.009704
1.049,0.006177
1.050,-0.014901
1.051,-0.003376
1.052,-0.000448
1.053,0.026915
1.054,-0.019381
1.055,0.014664
1.056,-0.001055
1.057,0.002507
1.058,-0.000343
1.059,0.004410
1.060,-0.001844
1.061,0.018376
1.062,-0.003714
1.063,0.016014
1.064,-0.004879
1.065,0.002277
1.066,-0.010010
1.067,0.007887
1.068,0.019105
1.069,-0.000001
1.070,-0.002363
1.071,-0.014302
1.072,-0.004515
1.073,-0.021541
1.074,-0.013808
1.075,-0.000279
1.076,0.012975
1.077,0.031283
1.078,-0.008802
1.079,0.016297
1.080,0.002925
1.081,-0.000888
1.082,0.006954
1.083,0.003170
1.084,0.004178
1.085,-0.001900
1.086,-0.013924
1.087,-0.016096
1.088,0.009602
1.089,-0.002393
1.090,-0.007153
1.091,-0.000825
1.092,0.007776
1.093,-0.000263
1.094,-0.010726
1.095,0.011716
1.096,0.016097
1.097,0.003508
1.098,0.009921
1.099,0.013976
1.100,0.013561
1.101,0.008296
1.102,0.008944
1.103,0.008663
1.104,-0.010315
1.105,0.011409
1.106,-0.013417
1.107,-0.007108
1.108,0.017406
1.109,0.011010
1.110,0.017849
1.111,-0.004187
1.112,-0.015590
1.113,-0.005312
1.114,-0.001629
1.115,-0.002052
1.116,0.010751
1.117,-0.006762
1.118,0.002461
1.119,-0.012791
1.120,0.005404
1.121,0.000964
1.122,-0.007234
1.123,-0.000403
1.124,0.000643
1.125,-0.000242
1.126,0.024109
1.127,0.001246
1.128,-0.001163
1.129,-0.024242
1.130,-0.010730
1.131,-0.004084
1.132,-0.009994
1.133,0.014153
1.134,-0.004832
1.135,0.012461
1.136,-0.002113
1.137,-0.001980
1.138,-0.002829
1.139,-0.000881
1.140,0.020626
1.141,-0.026908
1.142,-0.022255
1.143,-0.004091
1.144,0.003028
1.145,0.011281
1.146,0.008530
1.147,-0.002184
1.148,0.013992
1.149,0.013289
1.150,0.002209
1.151,0.010625
1.152,0.001508
1.153,-0.009165
1.154,0.005521
1.155,-0.001673
1.156,-0.002837
1.157,0.015248
1.158,-0.031174
1.159,-0.017939
1.160,-0.014245
1.161,-0.003432
1.162,-0.001292
1.163,-0.015661
1.164,-0.008969
1.165,-0.007330
1.166,0.032342
1.167,0.024048
1.168,-0.003178
1.169,-0.003436
1.170,-0.013790
1.171,-0.023825
1.172,-0.003166
1.173,-0.014401
1.174,-0.003871
1.175,-0.022202
1.176,-0.011997
1.177,-0.000644
1.178,0.002631
1.179,0.004083
1.180,-0.015846
1.181,0.011183
1.182,-0.007839
1.183,0.010021
1.184,0.002726
1.185,-0.013517
1.186,-0.000941
1.187,0.006811
1.188,0.009119
1.189,-0.000765
1.190,0.018381
1.191,0.011163
1.192,-0.004843
1.193,0.006574
1.194,0.020352
1.195,0.020526
1.196,-0.017589
1.197,-0.013545
1.198,0.016056
1.199,-0.013626
1.200,-0.015870
1.201,-0.004907
1.202,0.006806
1.203,0.001198
1.204,-0.004954
1.205,-0.005091
1.206,-0.005695
1.207,-0.008127
1.208,0.029143
1.209,0.004497
1.210,0.010641
1.211,-0.006796
1.212,-0.003995
1.213,-0.010990
1.214,-0.034674
1.215,-0.019536
1.216,-0.024581
1.217,-0.029424
1.218,-0.016108
1.219,0.014972
1.220,-0.000533
1.221,0.016414
1.222,0.006695
1.223,0.011818
1.224,-0.007958
1.225,0.009287
1.226,0.011598
1.227,-0.004493
1.228,0.008478
1.229,0.007721
1.230,-0.006595
1.231,-0.014400
1.232,-0.015973
1.233,-0.001389
1.234,0.001071
1.235,-0.012510
1.236,-0.002534
1.237,0.004419
1.238,0.005655
1.239,0.017696
1.240,0.015324
1.241,-0.011088
1.242,0.021966
1.243,-0.003945
1.244,0.015392
1.245,0.003816
1.246,-0.002093
1.247,-0.019265
1.248,-0.000295
1.249,-0.017786
1.250,0.011608
1.251,0.017274
1.252,-0.011326
1.253,0.001197
1.254,-0.011558
1.255,-0.010542
1.256,0.006441
1.257,-0.002890
1.258,0.019112
1.259,-0.006714
1.260,0.011992
1.261,0.002096
1.262,0.011313
1.263,-0.002939
1.264,0.002258
1.265,0.001614
1.266,-0.007180
1.267,0.010372
1.268,0.009566
1.269,0.008050
1.270,0.018444
1.271,0.016465
1.272,-0.006263
1.273,0.002050
1.274,-0.010336
1.275,-0.002720
1.276,-0.010050
1.277,0.017014
1.278,0.002601
1.279,-0.003543
1.280,0.014323
1.281,-0.025120
1.282,-0.022406
1.283,0.011977
1.284,0.003579
1.285,0.006005
1.286,-0.013064
1.287,0.002148
1.288,0.025805
1.289,0.010817
1.290,0.002036
1.291,-0.006196
1.292,-0.006498
1.293,-0.027977
1.294,0.000239
1.295,0.007146
1.296,-0.021761
1.297,-0.010364
1.298,-0.015653
1.299,-0.012511
1.300,0.000642
1.301,-0.024086
1.302,0.009135
1.303,0.011473
1.304,-0.000160
1.305,-0.026769
1.306,-0.009104
1.307,0.017222
1.308,-0.031573
1.309,-0.003243
1.310,-0.014160
1.311,0.008728
1.312,-0.009865
1.313,0.002420
1.314,0.003932
1.315,0.019035
1.316,-0.005288
1.317,0.002085
1.318,-0.019584
1.319,0.013358
1.320,-0.009126
1.321,-0.005802
1.322,0.001496
1.323,-0.016328
1.324,0.005598
1.325,0.014610
1.326,0.006368
1.327,-0.016640
1.328,0.000278
1.329,0.009831
1.330,-0.022536
1.331,-0.013824
1.332,0.008755
1.333,0.000814
1.334,0.002090
1.335,0.019314
1.336,0.002769
1.337,0.005468
1.338,0.030766
1.339,-0.003493
1.340,-0.009575
1.341,0.006061
1.342,0.007031
1.343,-0.003894
1.344,-0.009536
1.345,0.030718
1.346,0.006775
1.347,-0.006360
1.348,0.012755
1.349,-0.000383
1.350,-0.003035
1.351,0.005820
1.352,-0.017266
1.353,0.001804
1.354,0.020102
1.355,0.002594
1.356,-0.007368
1.357,-0.008512
1.358,-0.006687
1.359,-0.003975
1.360,-0.004534
1.361,0.011923
1.362,-0.019035
1.363,0.012771
1.364,-0.001703
1.365,0.007523
1.366,-0.010671
1.367,0.018371
1.368,0.016711
1.369,0.012442
1.370,-0.018177
1.371,0.009022
1.372,0.003095
1.373,-0.021690
1.374,-0.003145
1.375,0.001374
1.376,0.003820
1.377,-0.000300
1.378,0.001731
1.379,0.016756
1.380,0.014712
1.381,-0.033478
1.382,-0.002046
1.383,0.000451
1.384,-0.018172
1.385,0.004130
1.386,0.017838
1.387,-0.010612
1.388,0.005800
1.389,-0.010063
1.390,-0.008063
1.391,0.016802
1.392,-0.008274
1.393,0.003119
1.394,-0.025308
1.395,0.019348
1.396,0.004379
1.397,-0.004617
1.398,0.005143
1.399,-0.017845
1.400,0.014190
1.401,-0.002961
1.402,-0.000685
1.403,-0.003473
1.404,-0.004115
1.405,0.011336
1.406,0.005924
1.407,0.010248
1.408,0.001658
1.409,0.007085
1.410,-0.005026
1.411,0.025830
1.412,-0.020579
1.413,0.012704
1.414,0.013562
1.415,-0.013226
1.416,0.023898
1.417,0.009519
1.418,0.009890
1.419,-0.000591
1.420,-0.002607
1.421,-0.001586
1.422,0.006450
1.423,0.019241
1.424,0.005029
1.425,-0.007937
1.426,0.012746
1.427,0.013481
1.428,0.009619
1.429,0.009873
1.430,-0.003251
1.431,-0.012075
1.432,-0.012182
1.433,-0.022053
1.434,-0.000010
1.435,-0.004001
1.436,-0.008133
1.437,-0.037894
1.438,-0.016731
1.439,0.012523
1.440,-0.007976
1.441,0.005254
1.442,-0.014925
1.443,0.019692
1.444,0.001125
1.445,0.006480
1.446,0.030763
1.447,0.020624
1.448,-0.001915
1.449,-0.006192
1.450,-0.003907
1.451,0.005192
1.452,-0.003026
1.453,-0.007170
1.454,0.014753
1.455,-0.004371
1.456,0.024742
1.457,-0.001338
1.458,0.019660
1.459,0.003361
1.460,0.011556
1.461,-0.007768
1.462,-0.008482
1.463,0.007944
1.464,0.014716
1.465,0.003483
1.466,-0.012584
1.467,-0.013896
1.468,-0.015362
